student_id,enrolled_program
2022300904,BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY
22-500068,GRADE 11 STEM
2022302329,BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY
2022301403,BACHELOR OF SCIENCE IN NURSING
2022302619,BACHELOR OF SCIENCE IN PSYCHOLOGY
2022300113,BACHELOR OF SCIENCE IN NURSING
2022301273,BACHELOR OF SCIENCE IN NURSING
2022302093,BACHELOR OF SCIENCE IN NURSING
2022300642,BACHELOR OF SCIENCE IN NURSING
2022302339,BACHELOR OF SCIENCE IN RADIOLOGIC TECHNOLOGY
2022301139,BACHELOR OF SCIENCE IN NURSING
2022300116,BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT
2022301471,BACHELOR OF SCIENCE IN NURSING
2022300123,BACHELOR OF SCIENCE IN NURSING
2022302461,BACHELOR OF SCIENCE IN PSYCHOLOGY
2022301466,BACHELOR OF SCIENCE IN NURSING
2022300029,BACHELOR OF SCIENCE IN NURSING
2022301341,BACHELOR OF SCIENCE IN NURSING
2022302670,BACHELOR OF SCIENCE IN RADIOLOGIC TECHNOLOGY
2022302632,BACHELOR OF SCIENCE IN NURSING
2022302630,BACHELOR OF SCIENCE IN NURSING
2022302129,BACHELOR OF SCIENCE IN RADIOLOGIC TECHNOLOGY
2022302316,BACHELOR OF SCIENCE IN NURSING
2022301537,BACHELOR OF SCIENCE IN NURSING
2022301372,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY SOFTWARE ENGINEERING
2022302698,BACHELOR OF SCIENCE IN NURSING
2022302520,BACHELOR OF SCIENCE IN NURSING
2022301789,BACHELOR OF SCIENCE IN NURSING
2022301695,BACHELOR OF SCIENCE IN NURSING
2022300448,BACHELOR OF SCIENCE IN NURSING
2022301790,BACHELOR OF SCIENCE IN NURSING
2022302014,BACHELOR OF SCIENCE IN NURSING
2022300914,BACHELOR OF ARTS IN COMMUNICATION
2022302396,BACHELOR OF SCIENCE IN NURSING
2022302409,BACHELOR OF SCIENCE IN NURSING
2022301967,BACHELOR OF SCIENCE IN NURSING
2022300491,BACHELOR OF SCIENCE IN NURSING
2022302042,BACHELOR OF SCIENCE IN NURSING
2022302536,BACHELOR OF SCIENCE IN NURSING
2022300906,"BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY WITH SPECIALIZATION IN MOBILE, WEB, & SOFTWARE DEVELOPMENT"
2022301969,BACHELOR OF SCIENCE IN NURSING
2022300812,BACHELOR OF SCIENCE IN NURSING
2022300088,BACHELOR OF SCIENCE IN NURSING
2022301953,BACHELOR OF SCIENCE IN NURSING
2022302734,BACHELOR OF SCIENCE IN NURSING
2022302733,BACHELOR OF SCIENCE IN NURSING
2022301700,BACHELOR OF SCIENCE IN NURSING
2022301361,BACHELOR OF SCIENCE IN NURSING
2022302729,BACHELOR OF SCIENCE IN NURSING
2022302336,BACHELOR OF SCIENCE IN NURSING
2022302643,BACHELOR OF SCIENCE IN NURSING
2022301129,BACHELOR OF SCIENCE IN NURSING
2022300613,BACHELOR OF SCIENCE IN NURSING
2022301577,BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY
2022302331,BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY
2022302308,BACHELOR OF SCIENCE IN NURSING
2022300563,BACHELOR OF SCIENCE IN NURSING
2022302352,BACHELOR OF SCIENCE IN NURSING
2022300215,BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY
2022302588,BACHELOR OF SCIENCE IN NURSING
2022300761,BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY
2022302576,BACHELOR OF SCIENCE IN NURSING
2022301369,BACHELOR OF SCIENCE IN NURSING
2022302778,BACHELOR OF SCIENCE IN NURSING
2022302338,BACHELOR OF SCIENCE IN RADIOLOGIC TECHNOLOGY
2022302798,BACHELOR OF SCIENCE IN NURSING
2022300902,BACHELOR OF SCIENCE IN NURSING
2022301349,BACHELOR OF SCIENCE IN NURSING
2022301269,BACHELOR OF SCIENCE IN NURSING
2022302797,BACHELOR OF SCIENCE IN NURSING
2022302800,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (FINANCE)
2022302702,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (MKTG. MGMT)
2022302803,BACHELOR OF SCIENCE IN MEDICAL TECHNOLOGY
2022302801,BACHELOR OF SCIENCE IN RADIOLOGIC TECHNOLOGY
2022302500,BACHELOR OF SCIENCE IN NURSING
2022302754,BACHELOR OF SCIENCE IN NURSING
2022301423,BACHELOR OF SCIENCE IN NURSING
2022302629,BACHELOR OF SCIENCE IN NURSING
