id,course,name,introformat,alwaysshowdescription,nosubmissions,submissiondrafts,sendnotifications,sendlatenotifications,duedate,allowsubmissionsfromdate,grade,timemodified,requiresubmissionstatement,completionsubmit,cutoffdate,gradingduedate,teamsubmission,requireallteammemberssubmit,teamsubmissiongroupingid,blindmarking,hidegrader,revealidentities,attemptreopenmethod,maxattempts,markingworkflow,markingallocation,sendstudentnotifications,preventsubmissionnotingroup,activityformat,timelimit,submissionattachments
2,8,Individual Inventory Record (pdf copy),1,1,0,0,0,0,0,1657555200,100,1665536977,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
3,9,"Application for Graduation for Midyear Term, SY2021-2022 for Tertiary Level",1,1,0,0,0,0,0,1656374400,100,1662431581,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
4,25,Activity 1,1,0,0,0,0,0,1628351940,1628092800,100,1628268677,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
6,30,ASSIGNMENT (ESSAY),1,1,0,1,0,0,1598457600,1597852800,100,1597895870,1,1,0,1599062400,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
7,34,Which Pharmacy Career is the Best Fit for You?,1,1,0,0,0,0,0,1597453200,100,1597394272,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,0,0,0
8,1245,Assignment 1,1,1,0,0,0,0,1661184000,1660579200,100,1660653916,0,1,0,1661788800,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
9,1265,Partograph Reading,1,1,0,0,0,0,1660665600,1660665600,100,1660725292,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
10,1265,Case Study on Gestational Diabetes,1,1,0,0,0,0,1661356740,1660665600,50,1660725304,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
11,1260,Assignment 1,1,1,0,0,0,0,1661270400,1660665600,100,1660719525,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
12,1250,FNCP,1,1,0,0,0,0,1661270400,1660665600,100,1660719230,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
14,1251,Seatwork 1,1,1,0,1,1,0,1661324400,1660719600,30,1660719946,1,1,1661324400,0,0,0,0,0,0,0,manual,2,0,0,1,0,1,0,0
15,1258,Radiologic Contrast,1,1,0,0,0,0,1661270400,1660665600,100,1660718995,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
16,1245,fitness exercise,1,1,0,0,0,0,0,1660665600,30,1660719430,0,1,0,0,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
17,1266,POST LAB - EXPERIMENT #1,1,1,0,1,1,0,1661788800,1660665600,100,1660719663,1,1,1661928360,1661875200,0,0,0,0,0,0,untilpass,-1,0,0,1,0,1,0,0
18,1255,HAP Lec Endocrine,1,1,0,0,0,0,1660838400,1660752000,100,1660719431,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
20,1261,Microscope,1,1,0,0,0,0,1661270400,1660665600,100,1660719931,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
21,1262,Central Dogma Exercise,1,1,1,0,0,0,1661270400,1660665600,5,1660720035,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
23,1247,Kahulugan ng Pagbasa,1,1,0,0,0,0,1661270400,1660665600,20,1660721317,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
24,1271,123,1,1,0,0,0,0,1661270400,1660665600,100,1660719277,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
26,1248,Assignment #1,1,1,0,0,0,0,1661270400,1660665600,100,1660719301,0,1,1661928300,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
27,1259,Exercise in Radiophar,1,1,0,0,0,0,1660838340,1660719600,100,1660719716,0,1,0,1660881600,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
28,1264,principles of aseptic technique,1,1,0,0,0,0,1661270400,1660665600,100,1660719366,0,1,1661442120,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
30,1245,midterm grade,1,1,1,0,0,0,0,1660665600,100,1660719912,0,1,0,1661875200,0,0,0,0,0,0,none,-1,0,0,1,0,1,0,0
