id,category,sortorder,fullname,shortname,idnumber,summaryformat,format,showgrades,newsitems,relativedatesmode,marker,maxbytes,legacyfiles,showreports,visible,visibleold,downloadcontent,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,requested,enablecompletion,completionnotify,originalcourseid,showactivitydates,showcompletionconditions
1,0,1,Trinity University of Asia,TUA,,0,site,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,0,0,,0,
5,2,80002,TUA ADMIN (ADMIN & FACULTY),TUA ADMIN,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,0,0,,1,1
7,3,90004,TUA Events,TUA_Events,,1,topics,1,0,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
8,3,90003,Freshies 2022,Freshies2022,,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
9,3,90002,Office of Admission and Registration,OAR,,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
10,3,90001,TUA COMMUNITY,TUA COMMUNITY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
11,4,100005,T3 Sessions,T3Sessions,,1,topics,1,1,0,0,10485760,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
12,4,100004,TLC Tutorial (STUDENTS),TLC_STutorial,,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
13,4,100003,TLC SUPPORT (FACULTY),TLC SUPPORT (FACULTY),,1,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,0,0,,1,1
14,4,100002,Teacher Basics,Teacher Basics,,1,topics,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
15,4,100001,Admin Basics,Admin Basics,,1,topics,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
16,7,120002,Trinity High School,THS,,1,topics,1,0,0,6,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
17,7,120001,Basic Education Faculty,BasicEdFaculty,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
18,8,130002,SHS (ALL),SHS (ALL),,1,topics,1,0,0,0,0,0,0,0,1,,0,0,0,,,,0,1,0,,1,1
19,8,130001,SHS - FACULTY,SHS - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,0,1,,0,0,0,,,,0,1,0,,1,1
20,9,140002,CASE - FACULTY,CASE - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
22,9,140001,CASE (ALL),CASE (ALL),,1,topics,1,1,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
23,10,150002,CBMA (ALL),CBMA (ALL),,1,weeks,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
24,10,150001,CBMA - FACULTY,CBMA - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
25,11,160002,COLLEGE OF ENGINEERING AND INFORMATION SCIENCES (ALL),CEIS (ALL),,1,topics,1,1,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
26,11,160001,CEIS - FACULTY,CEIS - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
28,13,180002,CMT (ALL),CMT (ALL),,1,topics,1,1,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
29,13,180001,CMT - FACULTY,CMT - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
30,12,170002,CHTM (ALL),CHTM (ALL),,1,topics,1,1,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
31,12,170001,CHTM - FACULTY,CHTM - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
32,14,190002,ST. LUKE'S COLLEGE OF NURSING,SLCN (ALL),,1,topics,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
33,14,190001,SLCN - FACULTY,SLCN - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
34,15,200002,CAHS (ALL),CAHS (ALL),,1,topics,1,1,0,8,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
35,15,200001,CAHS - FACULTY,CAHS - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
36,16,210002,TRINITY UNIVERSITY OF ASIA GRADUATE SCHOOL (ALL),GS (ALL),,1,topics,1,1,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
37,16,210001,GS - FACULTY,GS - FACULTY,,1,singleactivity,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
38,6,220020,TUA Health Sciences Library,HSC.Library,,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
39,6,220019,TUA High School Library,THS.Library,,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
41,6,220018,TUA Helphub,Helphub,,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
42,6,220017,Sports and Cultural Section (ALL),SCS (ALL),,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
43,6,220016,UNIVERSITY CHAPLAIN (ALL),UNIVERSITY CHAPLAIN (ALL),,1,topics,1,10,0,0,5242880,0,1,1,1,,0,0,0,,,,0,1,0,,1,1
44,6,220015,VPAA (ADMIN & FACULTY),VPAA (ADMIN & FACULTY),,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
45,6,220014,VPAF (ADMIN & FACULTY),VPAF (ADMIN & FACULTY),,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
46,6,220013,UNIVERSITY PRESIDENT (ADMIN & FACULTY),UNIVERSITY PRESIDENT (ADMIN & FACULTY),,1,topics,1,5,0,0,5242880,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
47,6,220012,University Research & Development Center,URDC (ALL),,1,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,0,0,,1,1
48,6,220011,Trininitan Guidance and Career Center,GUIDANCE CENTER (ALL),,1,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
49,6,220010,Trinitian Center for Community Development ,TCCD,,1,topics,1,0,0,0,0,0,0,0,0,,0,0,0,,,,0,1,0,,1,1
50,6,220009,Student Affairs Center,SAC (ALL),,1,topics,1,0,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
51,6,220008,Main Library,Library,,1,topics,1,5,0,24,0,0,0,1,1,,0,0,0,,,,0,1,0,,1,1
52,26,250112,Mathematics in the Modern World [1PHAR01],GEC113 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
53,26,250111,Physical Activities Toward Health and Fitness 1 [1PHAR01],PATHFIT1 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
54,26,250110,Pharmaceutical Calculations Lab [1PHAR01],PHARMA102LAB 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
55,26,250109,Pharmaceutical Calculations [1PHAR01],PHARMA102 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
56,26,250108,Perspective in Pharmacy [1PHAR01],PHARMA101 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
57,26,250107,Readings in Philippine History [1PHAR01],GEC112 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
58,26,250106,The First and Greatest Commandment and the Trinitian [1PHAR01],TCE111 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
59,26,250105,Understanding the Self [1PHAR01],GEC111 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
60,26,250104,"National Service Training Program 1 [1PHAR01, 1RESPI01]",NSTP111 1PHAR01 1RESPI01  1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
61,26,250103,Pharmaceutical Inorganic Chemistry [1PHAR01],PHARMA103 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
62,26,250102,Pharmaceutical Inorganic Chemistry Lab [1PHAR01],PHARMA103LAB 1PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
63,26,250101,Human Anatomy and Physiology [2PHAR01],PHBIOSCI5 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
64,26,250100,Medicinal Chemistry Lab [2PHAR01],PHCHEM3LAB 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
65,26,250099,Medicinal Chemistry [2PHAR01],PHCHEM3 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
66,26,250098,Microbiology and Parasitology Lab [2PHAR01],PHBIOSCI4LAB 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,179,,,,0,1,0,,0,1
67,26,250097,Microbiology and Parasitology [2PHAR01],PHBIOSCI4 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
68,26,250096,Human Anatomy and Physiology Lab [2PHAR01],PHBIOSCI5LAB 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
69,26,250095,Pharmaceutical Biochemistry Lab [2PHAR01],PHBIOSCI2LAB 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
70,26,250094,Pharmacognosy and Plant Chemistry Lab [2PHAR01],PHBIOSCI3LAB 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
71,26,250093,Pharmaceutical Biochemistry [2PHAR01],PHBIOSCI2 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
72,26,250092,Pharmacognosy and Plant Chemistry [2PHAR01],PHBIOSCI3 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
73,26,250091,Individual Sports [2PHAR01] Thursday8:00AM-10:00AM ,PED_103 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
74,26,250090,Living in the IT Era (GE Elective) [2PHAR01],GEC_PH110 2PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
75,26,250089,Pharmaceutical Toxicology Lab [3PHAR01],PHTOX1LAB 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
76,26,250088,Pharmaceutical Toxicology [3PHAR01],PHTOX1 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
77,26,250087,Pharm Practice 1: Public Health Pharmacy [3PHAR01],PHPRAC1 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
78,26,250086,Pharmacotherapy 2: Pharmacology of CNS Drugs (Pharmacology 2) [3PHAR01],PHTHERA2 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
79,26,250085,Pharm Care 2: Basic Dispensing and Prescription Reading [3PHAR01],PHCARE2 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
80,26,250084,Pharm Care 2: Basic Dispensing and Prescription Reading Lab [3PHAR01],PHCARE2LAB 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
81,26,250083,The Entrepreneurial Mind (GE Elective) [3PHAR01],GEC_PH111 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
82,26,250082,Clinical Pharmacy and Pharmacotherapy 1 [3PHAR01],PHCLIN1 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
83,26,250081,Pharmacy Research 3: Pharmacy Informatics Lab [3PHAR01],PHRES3LAB 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
84,26,250080,Pharm Research 2: Methods of Research [3PHAR01],PHRES_2 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
85,26,250079,Pharmacy Research 3: Pharmacy Informatics [3PHAR01],PHRES3 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
86,26,250078,Pharm Research 4: Thesis Proposal Design and Implementation Lab [3PHAR01],PHRES4LAB 3PHAR01 1stSem_SY22-23,,0,topics,1,5,0,0,0,0,0,1,1,,0,0,0,,,,0,1,0,,0,1
