id,course,type,name,intro,introformat,duedate,cutoffdate,assessed,assesstimestart,assesstimefinish,scale,grade_forum,grade_forum_notify,maxbytes,maxattachments,forcesubscribe,trackingtype,rsstype,rssarticles,timemodified,warnafter,blockafter,blockperiod,completiondiscussions,completionreplies,completionposts,displaywordcount,lockdiscussionafter
4,5,social,Announcements (ADMIN & FACULTY),,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1597427654,0,0,0,0,0,0,0,0
6,8,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1659919976,0,0,0,0,0,0,0,0
7,9,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1646375532,0,0,0,0,0,0,0,0
8,10,news,Announcements (ALL),,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1597426714,0,0,0,0,0,0,0,0
9,11,social,Social forum,An open forum for chatting about anything you want to,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1623812054,0,0,0,0,0,0,0,0
10,11,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1623812084,0,0,0,0,0,0,0,0
11,12,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1597297853,0,0,0,0,0,0,0,0
12,13,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594307301,0,0,0,0,0,0,0,0
13,13,general,TEACHER FAQ,<p>TEACHER FAQ<br></p>,1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1594307810,0,0,0,0,0,0,0,0
14,17,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594633189,0,0,0,0,0,0,0,0
15,19,news,Procedure for Online Request for School Documents,Please ask students to use the google Form provided in requesting for school documents.,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1595224057,0,0,0,0,0,0,0,0
16,20,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594632167,0,0,0,0,0,0,0,0
18,22,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1596386585,0,0,0,0,0,0,0,0
19,22,general,Psych Forums and Announcements,"<p>Welcome to Psych Forums and Announcements! This will serve as:</p><ul><li>A social space for students to get to know each other</li><li>For course&nbsp;<a title=""Announcements"" href=""https://moodle4.tualearning.com/mod/forum/view.php?id=130"">announcements</a>&nbsp;(using a news forum with forced subscription)</li><li>For discussing course content or reading materials</li><li>For continuing online an issue raised previously in a face-to-face session</li><li>A help center where tutors and students can give advice</li><li>A one-on-one support area for private student-teacher communications (using a forum with separate groups and with one student per group)</li><li>For extension activities, for example ‘brain teasers’ for students to ponder and suggest solutions to</li></ul>",1,0,0,0,0,0,100,0,0,10485760,9,0,1,0,0,1597473677,0,0,0,0,0,0,0,0
20,22,news,ANNOUNCEMENTS,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1597147285,0,0,0,0,0,0,0,0
21,23,general,A  N  N  O  U  N  C  E  M  E  N  T  S,,1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1597870350,0,0,0,0,0,0,0,0
22,24,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594632379,0,0,0,0,0,0,0,0
23,25,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1596387072,0,0,0,0,0,0,0,0
24,25,general,Resources,,1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1628134979,0,0,0,0,0,0,0,0
25,26,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594632471,0,0,0,0,0,0,0,0
28,28,news,Announcements,Modified Academic Calendar First Semester 2021-2022,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1637649593,0,0,0,0,0,0,0,0
29,29,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594632734,0,0,0,0,0,0,0,0
30,30,general,OLD,,1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1596387192,0,0,0,0,0,0,0,0
31,30,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1596387129,0,0,0,0,0,0,0,0
32,31,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594632526,0,0,0,0,0,0,0,0
33,33,news,Announcements,General news and announcements,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1594633171,0,0,0,0,0,0,0,0
34,34,general,Radtech Student Association (RSA),"<p dir=""ltr"" style=""text-align: left;""><span style=""font-size: 0.9375rem;"">RSA Logo&nbsp;<a href=""https://drive.google.com/file/d/1YTNP6iPQovZLntCxfiFPnP084DKBhxzc/view?usp=sharing"" target=""_blank""><img src=""@@PLUGINFILE@@/download%20%283%29.png"" alt="""" width=""123"" height=""21"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></a></span><br></p>
<p dir=""ltr"" style=""text-align: left;"">RSA History, Programs/Events/Activities, RSA Officers &amp; Organizations Future Plans&nbsp;<img src=""@@PLUGINFILE@@/download%20%284%29.png"" alt="""" width=""123"" height=""21"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></p>
    <p dir=""ltr"" style=""text-align: left;"">RSA: Towards the Bright Future&nbsp;<img src=""@@PLUGINFILE@@/download%20%282%29.png"" alt="""" width=""123"" height=""21"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></p>
        <p dir=""ltr"" style=""text-align: left;"">RSA: Leaders of Hope&nbsp;<img src=""@@PLUGINFILE@@/download%20%285%29.png"" alt="""" width=""123"" height=""21"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></p>

<iframe src=""https://drive.google.com/file/d/1lLIsprGP1mNtdkSQmV0Irp07oJJiyW4T/preview"" width=""640"" height=""480"" allow=""autoplay""></iframe>",1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1659511832,0,0,0,0,0,0,0,0
35,34,general,Junior Pharmacists Society (JPS),"<p dir=""ltr"" style=""text-align: left;"">To know more about JPS... click this&nbsp;<a href=""https://drive.google.com/file/d/1fETfjSmL8dG8Bf_nX0-wYVNszENWEfMj/view"" target=""_blank""><img src=""@@PLUGINFILE@@/Generic_Pointer_for_UI1%20%281%29.png"" alt="""" role=""presentation""></a></p>",1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1659271249,0,0,0,0,0,0,0,0
36,34,general,Society of Aspiring Respiratory Therapists (SART),"<p dir=""ltr"" style=""text-align: left;"">SART Logo...<a href=""https://drive.google.com/file/d/1FQoi8SSkiJV3OOrCG3kZXLwUd91I0h8B/view"" target=""_blank""><img src=""@@PLUGINFILE@@/click%20here.png?time=1659271567782"" alt="""" width=""43"" height=""45"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></a></p><p dir=""ltr"" style=""text-align: left;"">To know more about SART...&nbsp;<a href=""https://drive.google.com/file/d/1ggKXwTfMJqu3NqoeTwLilyPXqJXf-O7n/view"" target=""_blank""><img src=""@@PLUGINFILE@@/click%20here%20%281%29.png"" alt="""" width=""43"" height=""45"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""></a></p>",1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1659275382,0,0,0,0,0,0,0,0
37,34,general,COURSE OVERVIEW,"<p dir=""ltr"" style=""text-align: left;""></p><p dir=""ltr""></p><h3 style=""text-align: center;""><strong>COURSE OVERVIEW</strong></h3><p style=""text-align: center;"">Pharmacists are healthcare professionals who are expert on
drugs. Therefore, a pharmacist is specially trained to be knowledgeable in
every aspect of drugs. The massive knowledge is multidisciplinary and it ranges
from the properties and actions of drugs to the technology and science behind
the production of a medicinal product, to the rational use of a drug for
optimal therapeutic outcome in patients. Beside working on drug presciption,
pharmacy graduates can also enter into the pharmaceutical industry where one
can be involved in the research and development of drugs, clinical trials,
pharmaceutical marketing and pharmaceutical sales. Trinity University of Asia
College of Allied Health Sciences offers BS Pharmacy, a four-year degree program
with&nbsp;innovative curriculum that provides students the opportunity to
develop practice skills in one of the most prominent hospital institution in
the country – St. Luke’s Medical Center.</p><p style=""text-align: center;""><img src=""https://lh3.googleusercontent.com/proxy/oQd9sHVMyAJtgCWjXU0UTevwIxZUvSDfCLdXYGTAlgM1Zts0NPc-jaju5Npwr2iB4iDy0afXFl10fvYtxxBGW6ow-oAFcZTtSsVDBuXAKL7_lOQXFV_Iwtw"" alt=""Home: - Trinity University of Asia""><br></p>

<p style=""text-align: center;"">&nbsp;<strong style=""color: rgb(69, 90, 100); font-size: 1.64063rem;"">THE
LEARNING PLACE</strong></p>

<p style=""text-align: center;"">Our faculty incorporate active learning, simulated patient-care
experiences&nbsp;and other strategies to facilitate the continued development
and application of critical thinking and clinical skills with progressive and innovative
facilities. </p><p style=""text-align: center;""><img src=""@@PLUGINFILE@@/image.png"" alt="""" width=""400"" height=""300"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""><br></p>

<h3 style=""text-align: center;""><strong>AFFILIATIONS</strong></h3>

<p style=""text-align: center;""><span>The BS
Pharmacy Program has affiliations with a wide range of pharmacy
practice settings where student pharmacists participate in experiential
education throughout their academic program.</span></p>

<h3 style=""text-align: center;""><strong>PROGRAM OUTCOMES</strong></h3>

<p></p><p style=""text-align: center;""><span style=""font-size: 0.9375rem;"">Our students consistently achieve success during and after they
graduate from the program. We make sure that we guide you from enrollment to
licensure examination to employment.</span></p><p style=""text-align: center;""><span style=""font-size: 0.9375rem;""><img src=""@@PLUGINFILE@@/image%20%281%29.png"" alt="""" width=""400"" height=""191"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""><br></span></p>
<!--[if !supportLineBreakNewLine]--><p style=""text-align: center;""><strong style=""color: rgb(69, 90, 100); font-size: 1.64063rem;"">CAREERS</strong><br></p><p></p>

<p></p><p style=""text-align: center;""><span style=""font-size: 0.9375rem;"">There is a wide variety of career opportunities for pharmacists
in the areas of community pharmacy, hospitals or health systems, academia and
many more!</span></p><p style=""text-align: center;""><span style=""font-size: 0.9375rem;""><img src=""@@PLUGINFILE@@/image%20%282%29.png"" alt="""" width=""200"" height=""267"" role=""presentation"" class=""img-responsive atto_image_button_text-bottom""><br></span></p>
<!--[if !supportLineBreakNewLine]--><p style=""text-align: center;""><br></p>
<!--[endif]--><p></p>



<p style=""text-align: center;"">&nbsp;</p><p style=""text-align: center;""><br></p><p></p><p></p>",1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1597398746,0,0,0,0,0,0,0,0
38,34,general,THE DEAN,"<p dir=""ltr"" style=""text-align: center;""><img src=""@@PLUGINFILE@@/Message%20Cover.jpg"" alt="""" width=""499"" height=""190"" role=""presentation""></p><p dir=""ltr"" style=""text-align: center;""><br></p><p dir=""ltr"" style=""text-align: center;""><strong>WELCOME TO TRINITY UNIVERSITY OF ASIA!</strong></p><p dir=""ltr"" style=""text-align: center;""><span style=""font-size: 0.9375rem;"">You are beginning a new chapter in your life here in <strong>TRINITY UNIVERSITY OF ASIA.</strong> It will be a challenging yet <strong>exciting </strong>and <strong>illuminating</strong> journey for you.</span></p><p dir=""ltr"" style=""text-align: center;""><span style=""font-size: 0.9375rem;"">TRINITY UNIVERSITY OF ASIA is an <strong>AUTONOMOUS INSTITUTION</strong>. It is also a caring community of devoted alumni, faculty, staff, students and supporters of TRINITY UNIVERSITY OF ASIA. Once you join TRINITY UNIVERSITY OF ASIA, you will be a <strong>“TRINITIAN”</strong> now and ever. The distinctive literal health education at TRINITY UNIVERSITY OF ASIA will enable you to enjoy many facets of University Life. Open your mind and engage the whole around you. It falls to you to make the most of it.</span></p><p dir=""ltr"" style=""text-align: center;""><span style=""font-size: 0.9375rem;"">I encourage you to set goals for your university life and work hard as academic excellence should not compromised. Explore, enjoy and fill your life with meaningful activities. We are here to work with you hand in hand to minimize your potentials and find out what you can do best. I expect you to exemplify the fine qualities of Health education of TRINITY UNIVERSITY OF ASIA and to be leaders who could contribute a better future for the world. Again, on behalf of the future front liners, WELCOME TO THE <strong>COLLEGE OF HEALTH ALLIED SCIENCES!!!</strong></span></p>",1,0,0,0,0,0,100,0,0,512000,9,0,1,0,0,1597394330,0,0,0,0,0,0,0,0
