id,course,name,intro,introformat,timemodified
1,11,&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &...,"<h4 style=""text-align: CENTER;""><a href=""https://moodle4.tualearning.com/mod/page/view.php?id=22&amp;forceview=1""><img src=""@@PLUGINFILE@@/image%20%282%29.png"" alt="""" width=""450"" height=""281"" role=""presentation"" class=""atto_image_button_middle""></a>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<a href=""https://moodle4.tualearning.com/mod/page/view.php?id=23&amp;forceview=1""><img src=""@@PLUGINFILE@@/image.png"" alt="""" width=""400"" height=""299"" role=""presentation"" style=""font-size: 1.40625rem;"" class=""img-responsive atto_image_button_middle""></a></h4>",1,1623835629
2,11,&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &...,"<h4 style=""text-align: center;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<a href=""https://moodle4.tualearning.com/mod/page/view.php?id=24&amp;forceview=1""><img src=""@@PLUGINFILE@@/image%20%284%29.png"" alt="""" width=""401"" height=""300"" role=""presentation"" class=""img-responsive atto_image_button_middle""></a>&nbsp;
    &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<a href=""https://moodle4.tualearning.com/mod/page/view.php?id=25&amp;forceview=1""><img src=""@@PLUGINFILE@@/image%20%285%29.png"" alt="""" width=""500"" height=""281"" role=""presentation"" class=""img-responsive atto_image_button_middle""></a>&nbsp;
    &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</h4>",1,1623865976
3,13,"Shortcut for Quiz

","<h4 style=""text-align: left;""><span class="""" style=""color: rgb(102, 51, 255);"">Shortcut for Quiz</span>

</h4>",1,1603120111
4,13,How to download grades in TLC,"<h4 style=""text-align: left;""><span class="""" style=""color: rgb(0, 153, 20);"">How to download grades in TLC</span></h4>",1,1622490911
5,13,How to install and use the Google Applications,"<h5 style=""text-align: left;""><u>How to install and use the Google Applications</u></h5>",1,1611198596
6,13,"Theme: ""Effective Quality eLearning and Online Dis...","<h3 style=""text-align: center;""><u>Theme: ""Effective Quality eLearning and Online Distance Education""</u></h3><br>",1,1611193761
7,13,"T3 Plenary Session 1 - ""Assessments and Psycho-Soc...","<h4 style=""text-align: left;""><span><span class="""" style=""color: rgb(0, 168, 65);"">T3 Plenary Session 1 - ""</span><span style=""""><span lang=""EN-PH"" style=""color: rgb(0, 168, 65);"" class="""">Assessments and Psycho-Social Interactions""</span></span></span></h4>",1,1611150917
8,13,"T3 Plenary Session 2 - ""Plans and Approaches for S...","<h4 style=""text-align: left;""><span><span class="""" style=""color: rgb(0, 168, 65);"">T3 Plenary Session 2 - ""Plans and Approaches for Second Semester</span><span style=""""><span lang=""EN-PH"" style=""color: rgb(0, 168, 65);"" class="""">""</span></span></span></h4>",1,1611151627
9,13,T3W3 - Educational Applications,"<h4 style=""text-align: left;""><span><span class="""" style=""color: rgb(0, 168, 65);"">T3W3 - Educational Applications</span></span></h4>",1,1611151798
10,13,T3W6 - Managing Zoom Webinars,"<h4 style=""text-align: left;""><span><span class="""" style=""color: rgb(0, 168, 65);"">T3W6 - Managing Zoom Webinars</span></span></h4>",1,1611151839
