id,course,name,intro,introformat,tobemigrated,legacyfiles,legacyfileslast,display,displayoptions,filterfiles,revision,timemodified
2,8,Individual Inventory Record,"<p dir=""ltr"" style=""text-align: left;""><span>Kindly print and fill out this form and upload a PDF copy to the </span><strong>assignment section.</strong></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,6,1663220330
3,9,"Academic Calendar, SY 2022-2023",,1,0,0,,1,"a:1:{s:10:""printintro"";i:0;}",0,4,1662682979
4,22,The Journey,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597625854
5,22,The Process,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597627261
6,22,The Vision,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597628114
7,22,The Mission,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597629380
8,22,The Map,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597629721
9,28,Faculty Consultation Hours,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1600066287
10,28,Academic Calendar First Semester 2021-2022,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,6,1630598534
11,28,In Focus,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597452897
12,28,TLC Guidelines,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1597452992
13,30,SCHOOL CALENDAR FOR SY 2020-2021,For your reference. Please download the file. Thank you.,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1597896560
14,32,CMO 15 BSN Curriculum,,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,1,1655710010
15,34,BSRT Revised Curriculum,"<p dir=""ltr"" style=""text-align: left;"">Revised Curriculum</p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1629596561
16,34,BSRT Old Curriculum,Old Curriculum,1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,3,1629596376
17,34,ACADEMIC CALENDAR 2021-2022,"<p dir=""ltr"" style=""text-align: left;"">ACADEMIC CALENDAR 2021-2022<br></p>",1,0,0,,1,"a:1:{s:10:""printintro"";i:1;}",0,2,1629594688
