id,course,name,intro,introformat,externalurl,display,displayoptions,parameters,timemodified
1,22,Virtual Museum of Psychology | Come and Visit,"<p dir=""ltr"" style=""text-align: left;"">The&nbsp;<a href=""http://psychmuseum.uwgb.org/"" target=""_blank"">Virtual Psychology Museum</a>&nbsp;is a product of the University of Wisconsin-Green Bay that combines original content with various psychology-related resources from across the Internet. It is a virtual space where anyone who wants to learn more about psychology can read articles, watch videos and even play games.&nbsp;&nbsp;</p><p dir=""ltr"" style=""text-align: left;"">The Virtual Psychology Museum was created to offer a reliable source of information for anyone who wants to learn more about the fascinating field of psychology. Psychology is one of those areas where there is considerable information available to the public, but much of it hasn’t been vetted by actual experts in the field. This project provided an opportunity to curate those resources to provide reliable information to students, teachers and others.&nbsp;</p>",1,http://psychmuseum.uwgb.org/,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1597438583
2,22,The TypeFinder® Personality Test (Know yourself),"<p dir=""ltr"" style=""text-align: left;""><p>This free personality test reveals who you&nbsp;<em>really</em>&nbsp;are. Discover the 16 personalities created by Myers &amp; Briggs, test your personality type, and find your strengths.</p><p>To take the personality test, mark your answers based on how well each statement describes you.</p><br></p>",1,https://www.truity.com/test/type-finder-personality-test-new,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1597438657
3,22,Psychology Lessons | TED-Ed,Watch Psychology lessons.&nbsp;,1,https://ed.ted.com/lessons?category=psychology,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1597438998
4,39,Brief History of the Library,,1,https://www.flipbookpdf.net/web/site/f0b7ea2e160355e1f4ed3905c71623f5a0c19507202101.pdf.html,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1658385760
5,39,"Library Handbook: A Guide to its Resources, Facilities, and Services",,1,https://flipbookpdf.net/web/site/70a12568b309a1a994b9f4dd7c18ac73d415674e202101.pdf.html,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1658387121
6,39,Orientation Program 2020,"<p dir=""ltr"" style=""text-align: left;""><p><span lang=""en-PH"">The library organizes library orientation for freshmen students during the opening of the first semester. These sessions are coordinated with the English faculty to provide basic information about the library services, resources, personnel, as well as basic information searching skills.</span><span lang=""en-PH""></span></p><p><span lang=""en-PH"">&nbsp;</span></p><br><br></p>",1,https://drive.google.com/file/d/1-f8stFKghMuWl6U0XSz-UNvBjr64GAXc/view,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1658387755
7,39,EBSCOhost,"<p dir=""ltr"" style=""text-align: left;""></p><p dir=""ltr""><span><strong><span>EBSCO eBooks are online versions of print books that the library purchased via an annual subscription. EBSCO eBooks are available from all major academic publishers in virtually all academic disciplines</span></strong><span>.</span></span><br></p><p dir=""ltr""><br></p>URL:&nbsp;<a href=""https://search.ebscohost.com/"" target=""_blank"">https://search.ebscohost.com/</a><br><br><p dir=""ltr""><strong><br></strong></p><br><p></p>",1,http://search.ebscohost.com/,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1662101282
8,41,Please CLICK this TRINITIAN HELP HUB LINK,,1,http://www.tua.edu.ph/helphub/,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1629690117
154,47,Term of Reference for TUA-IERC,,1,https://drive.google.com/file/d/1CAMvecsr3PBiMu5ZqtnCn7w7gx3Ub7v-/view?usp=sharing,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1657594307
155,47,Ethics Review on Student Research,,1,https://docs.google.com/document/d/1RBDehq15w48uTdK-3Bc83dGm_Y7-0yooHrX6X0OEsfM/edit,6,"a:2:{s:10:""popupwidth"";i:620;s:11:""popupheight"";i:450;}",a:0:{},1657594210
