id,userid,appid,name,model,platform,version,pushid,uuid
1,5539,com.moodle.moodlemobile,samsung,SM-G9550,Android-fcm,9,f_5ssxotNAs:APA91bEoy9adi0w47DbdDVRotOWYryaI5sLVx9s72oBEeUWGL_4JPJVbPXWyMyU0h7ZA2YJwgdrMuiE4VC1URqXGgv_okvxxZ4L3q-ThwONxwI6IwHYvs1yoFQmzjktPgtMOFu5iJNna,2ab5dd3ad2263b45
2,5894,com.moodle.moodlemobile,realme,RMX2151,Android-fcm,11,fH1HYxYIZOc:APA91bEYK5baCRQXOrjuhtRmOOqNB8cs7Jp8CI3Gkh7Sg6kmIgKpmRSHGoVitPVoyAwx5CXQZpM_1CNOl-DjUEsy_aOvcEqOGI11k8q7UHe2fbV4TSYzUKwRxP7Aot54gPNcm638Vqma,74cc721286d7787b
3,3445,com.moodle.moodlemobile,samsung,SM-J415GN,Android-fcm,9,eXL4kbrL19w:APA91bE6jQF_65vkkLjMSxcyZiSQXxnw5YkLM1bFuogr923DlD1DsZsUATdqzb9KzG-9giUjfhO_OPBWAmRi6Zs7MY-TV7OGCeFzSKKQbOIEXVYbwqXgiS0P2OzVSExRyWEetxbV-zHt,aa7276b366b40691
4,2924,com.moodle.moodlemobile,Apple,"iPhone8,1",iOS-fcm,15,cynBLGDZ70W3sewfGe5L0u:APA91bEYNbjsOdpBUhNJOtYwZDCxIuvf6nHjy3OOK1rmYYTz2ISj8wkvQ2iFQntqTKIw4L1cJrEU8rEag_BvanxqU3OhpbaQ-Onb9dUXPpHicXmEPHWzDWS9r-XN3xEPJaSc3xNTEXmG,1DE6BC40-2CA0-4E67-B940-3DB5ABB934B4
5,6283,com.moodle.moodlemobile,Apple,"iPhone10,1",iOS-fcm,15.6,fgQWtPmUMEN-stY7pUKKCs:APA91bGyR6ZZbpJtLrdSRLZtjYKjpUg2DKXmB2_A86ffuI-77_wCBDGxpNCOajzEeW2UApAxZDmZf4ifmxFM1zTXhnc1Vgf5sUKcOJXuQxCTEgTUxHjuQZx1Er9SBS43uMKeT5WH7Dn0,A9B28B25-FE3A-47A4-95A1-BAA5B01C6575
6,7873,com.moodle.moodlemobile,Apple,"iPhone12,1",iOS-fcm,15.6,coTpE2rHF0RGt-yylK05L0:APA91bE8ELqId-Y1rYNtcR1PdSXGBK_u_Hm79tnC8MWnLySxxnJB_Xnfb8XLqw0U9biC6yyHNb6UdAap0a1bSN1LxinPkC59lNrMH_e_JTZLOmrrLzjsVS5LCSbYakTvh1adg03MGubJ,79C64A1E-56FF-4D2A-985A-026F846FB3F2
7,8720,com.moodle.moodlemobile,vivo,V2032,Android-fcm,12,cRtC9q-20J0:APA91bF9oSkt4dh0ghzsxnZln78LqOVKfcG9RGlkc5gQ56vgi1oE9iTkvSurNP5IIXY7i8r1k3Enm8oOsFH107NE5BFBg6vrXtbScAZpzHNCuEAJE81AR0D6K0mzHtBhmDLkgL49qXde,733a251a6008c01d
8,6299,com.moodle.moodlemobile,Apple,"iPhone14,3",iOS-fcm,15.6,fmIa0uyG2kyLvk-aZl1lgI:APA91bH-juiRejWMiYYrkydYev4DeMEhJwaLtZxoV_2bHPWhzdOAr1u03qHqA6Q3ZcH6d42mIZ03xWnzh05p8mh4rsSCTjnhYEN5YM0KXmc2RohLIeXF0zU1EwIGRrbt0veGowgy6iuE,BE448CE3-6D5F-465C-B2F9-1648A274465C
9,2544,com.moodle.moodlemobile,Apple,"iPhone14,5",iOS-fcm,15.5,cnwMaok1e0bbjk3-BPinwj:APA91bFETFWro39LmOdnvOePIGwUu1WZiPdA511zWJANmzOsHc7z9f6-dtggOlzqxlI86kM51uLw3d7mcqXnlY3PeU1SxLKVFOo7LI8ooeBb1l0qGzgwn-KLqUtHYxcvqqd8Zdr2dOoN,F271B584-B0E3-4D5D-8E18-3F938657B219
10,2623,com.moodle.moodlemobile,Apple,"iPhone10,5",iOS-fcm,15.6,dtNervMFnEb6gK_2cgcHZ1:APA91bH7CZLikTlIQGNlPf8446pDS3GtTc_i7Awq3e8WTJKEE5hMRF-3X_hXVUe4M5y3vmqu1OFbMWC64ByYQcOAWQr9zpzoj3CZElb4TNMDro3XdSuc1m_r47vMnyQ_2K4s4Zh091UM,34D708C0-6A87-408B-98E0-3359B8FB1412
11,1227,com.moodle.moodlemobile,samsung,SM-G973F,Android-fcm,12,feK-dCqDuGY:APA91bHYiiW1NvqyP-J36U7cALlzliYI9910qanIkYsY4HCLBrlzeGPquFa1HeEbv3dVJASZwEZwJY_c32WRwb8au7rZXiLIU6eZT06GjGiTmtbEI9MEa7V3SWB9Xbrlf-Bwxg_jIxPv,4d7f58f498774631
12,1274,com.moodle.moodlemobile,Apple,"iPhone12,5",iOS-fcm,15.6,dZ5UKC8iIkQHm3-Jh-ZlNN:APA91bGRbL-46_JxlaSmST_USfzyw_IcxYRnBwRefv1A09Z_J8lmsSeIpJvQrb4dOMblkcMueEPY5L_zxxTbBceqtWKldQet7KwEQoXAdxnrhIslyULTB_3yKTe1-0u5YVvCCluPryaB,354DE5F2-B1C2-4297-9CE5-D297C22108E3
13,1269,com.moodle.moodlemobile,samsung,SM-A715F,Android-fcm,12,eCMeehGm3Mg:APA91bGAK9LUMpqX1FiimZMm7I_xq7tJGiVrNNxRcNHGlsR1MCAy7vQg3Mh8OGnSZyXIN427zLlHa27PfmN90kufnoyLGQ5zyqeklaB1AJUqSHU_dbo5VEBvt0gu6kg3icE39NvfndXm,684711ef677d2c71
15,1241,com.moodle.moodlemobile,samsung,SM-A507FN,Android-fcm,11,cbMYPanT3GE:APA91bGM8QCMCWh11SKmMdtlSuIc5Oeb6YAD_8Oiln9FzjUdpXpHc0m2P24zCWjWULgeZGdpDOUToMLi-m4tyBssfYIebP8MFlN4vylrfl6Y48vSJCFjsoafycLYfPSgL7ezKPWe_pE5,f14ecabe50bb488e
16,6608,com.moodle.moodlemobile,realme,RMX2180,Android-fcm,11,c0FspzXdAZc:APA91bFp3gpnxvylNENK8WHwcZjDxtrXk7Gl9CQsuhBGDfQcBBfbjA2slLg9dpL0WdV8NElsSXq0s8Dp0gyYHJcXul6g0C5XsuYsBdeb2anBMW_r-AtjU-qBJ5QER8ILnaL3_SY2p4-T,222d1894704294f2
17,6297,com.moodle.moodlemobile,Apple,"iPad11,6",iOS-fcm,15.5,eWM2lQFoOkzSgb2LKiBckL:APA91bE-s5DD8U5MuPIOT1wd6_7XhDinvFGClUvGLYZVfNNVmXCzH2QLSIp9qgKXP-mkl4alwCGANj8RF99AyhAKg3ghymj5UdaPEtgP83UhTYJTHFWaNEycXCs5VFg3a6Nj3ArcuK0k,25D1127C-0994-4350-8E35-2CDCAAAB60B4
18,7870,com.moodle.moodlemobile,Apple,"iPad11,1",iOS-fcm,15.4,cA36b5FKVUEjq1RrHcK3L0:APA91bGNd7NIsP1gqA4oMxQo-09rUYuCn_bk-DHAZFZBBpn718ajxCQ1rOtImc1MtvxmS_yKxaFC64LwbS_NSAsyEpKyYitdWfejBWdAuz4NTpVnT9Kb-j9qcT-tww9EVUaZyhjr2UQp,4DC6F9B7-20AE-4B20-B291-C725BD5DB15C
19,1242,com.moodle.moodlemobile,Apple,"iPhone10,6",iOS-fcm,15,eTteUzJngUdLlQnW8IgWQT:APA91bH110iE28QBoqVIy-I07YAHiaElHZ3smxQ_XevCAw0Y5CI-HYTbS_ZzDGKRs-tV4gFt7BgCGeQ_YA7IqioqIlKvIMzrhU5sx5WoGzELJ6ukmq2ew-XaC4RTVOYB7rrjZPy-tTfb,A91F5383-F15E-4885-97C2-1E683086CF4B
20,8014,com.moodle.moodlemobile,Apple,"iPad11,3",iOS-fcm,15.5,e_p-69Y1Y0AjiPP_MnMFCM:APA91bE_QI_D9izeVgE9KWe6ZHD60HJqdiNlcDeLH5VnXwNX87otfR8OT1xfSdkmIkORW8EjJyyYSz2Mo-Mwte7G18ADJ9D77BZyN9LhyVH4IoeQ2zvHoCTAmxnbUJKZjajIe9aEmzSE,AF687E0F-F211-49C1-B4C9-3891603635B3
21,2578,com.moodle.moodlemobile,Apple,"iPad13,4",iOS-fcm,15.5,dLY7tNBhm0x8tS0dpruMQY:APA91bFTwbvnDhTnPR1Wd--XcYg3pA_kDK0-d_VuzS9IOHoPCq7ZoAb0XLfBGYmJRozac9Bb-te-SY0sXZwpHKywwbAljnujxLabkoenp74PK-f4rwCtJU0YqwtahOWbuHvv4BsUyWjx,FFC79305-37C5-4FB2-8F2A-F394321FBF30
22,8157,com.moodle.moodlemobile,vivo,vivo 1906,Android-fcm,11,eNzbJZP_ytA:APA91bFKwC-6rVGYC1MAc6IWhHNozziFRCIBJzUreT7X989H_LNYCisQE6wRksXeKsSrpgmZzHmRmc0xfYE0ya3LWojWf-evb1rwBiT2aUgD-W5rMet7pxacbiJ_B0JCxAR07rhc7Oc4,d1af33325c6bd269
23,1087,com.moodle.moodlemobile,Apple,"iPhone11,8",iOS-fcm,15.4.1,fXQh48G6DEqYr0MDjY0znC:APA91bECBWoaY4wvDd4ekk_aPWRe_fOrwBCABnmlg1D8j7NnlzUn0gU058-DHuZvTpbiUXpn6N6XFA-WJMIhXHehms0kpbFExJLOTyB8GS0WWNw_KxgN7GyHNJtY0oacNHVxVPplacxE,DF96B378-90EA-4E3C-9C0B-1633E7E506E1
24,7924,com.moodle.moodlemobile,OPPO,CPH2333,Android-fcm,12,cAPlF0laM1g:APA91bGlllO4oCIZMm6z6Lm-qN110kPPdr801HSFVV69VFbgAAOPoIHnlJsHiGQtJAFhmrWIT2J2tPANvHc1YTrhy16_eJMj2emuMF2RShplsFTKielvku8MHECKlSGQiMY5ReaGw1iq,5d5788939825e44d
25,5952,com.moodle.moodlemobile,samsung,SM-T735,Android-fcm,12,elKHyJuf864:APA91bFfbgUHkzIa5gPYTJiV7uRAKIJABxX2q_k8sXhYLp9X9bACOkplb0szyz2sQ6mZ-YUh169TTWhw7sjp9fcSmEwnr2nEqCQbxwWib5-ViHeaELWCsSfkXL3BxhPpW6zTOHjg2Smg,27475111bddedd87
26,8037,com.moodle.moodlemobile,Apple,"iPhone10,6",iOS-fcm,15.5,fC07QZ2pwEXsljLvT_8-LR:APA91bEDRtf_AEvR_vaYnXjZZv_OZoZPfbFgSp_AywWthLcqxydykyeRf0uVRM2Kg2nc_-Zx2QDzVX0pqAiSFUw4WW9dGrnWrhEpdm5qoY5sCTDgGYdSHtGs0Gw7k8xKYGyy8nNqWm1w,E5564628-5AC2-4B90-95EA-A3660056292A
27,6518,com.moodle.moodlemobile,Apple,"iPad8,1",iOS-fcm,15.6,eLnskwV9b0_XsCu6b9AlxQ:APA91bEdW9-L_N7xsNtUghPq1N3j9m8FzSAaCTAfBXfBv69MqjVC2M_Fcfiv_cOJL_3HCe8oYMUm2dtv0b9RKWYoCT9PzoIq2QiAspjlsjqb-5Aums9fQDT4LPWx7lwU3NdyHmmu6glC,50AAABA4-83FF-47BD-8785-2C1980C687A6
28,5546,com.moodle.moodlemobile,samsung,SM-A507FN,Android-fcm,11,egj_MZG16Nw:APA91bFvy04iZHCmIW4PjKnZVkkVinp0lBF3Jl5gCCTv2v_OIPASqbpRFf8gKowbT0sqD4dIYCoGvrorBjYUNX9zDWAyN_TPCDtGWiOU2rvxZFCzkSHzue4ZBeb3rilQD55BMye5iEn1,c9d6bb2c29121258
29,3737,com.moodle.moodlemobile,Apple,"iPhone14,5",iOS-fcm,15.6.1,ebacdUjaFkuVn9itQdZPL-:APA91bEJucaI6iCsoJenPNI_93VPJ7SCjDKlA9dLvgqXBKOI1hhE_H7BasEkOgTIRkWpzS00sKIYe8VZ5kiZV19TTj6-5u_9PuKmGlcrVDGVEwpV_7Vf4VQGs7Coa9_qT4CmgaZmabo8,10D90A3C-3BA7-47D8-8E75-4BD91E6DF45E
30,3477,com.moodle.moodlemobile,Apple,"iPad11,6",iOS-fcm,15.4.1,f6I_Q69BsUrskyVf4o4-rn:APA91bHdgNb2bx-CnbKt_0PMfilmP6eCeGm7Z9lODgBEoxg4dBrcJN332FG5TymIp_tIJC6IiWlQLL8xs0oDgAUvX5n0ESnI8MZWcAi7pWYfrsD7qeGsnWyg17aOwsrIQy9h_CUi8PGZ,AAA12D82-7EA2-4A0B-9DC2-476FF87BA383
31,3468,com.moodle.moodlemobile,Apple,"iPhone11,8",iOS-fcm,15.5,fQXb7ZjzLU5vk8g5Hof9Jq:APA91bG-g3ZuwGUnZzOuTS6QVH7ms8o5Exdlz-lELHoTcO4QzBEiE4CektfdWFhA7zPURIWLqwwxQzprQJKpkTBem2rBFlRd9Cgn80CXWdky8JEI-P3F5GTl5NdRU_LpklTUFSmiUcy4,79B0A4D5-6B57-4404-932C-C3134D28E87A
32,1682,com.moodle.moodlemobile,samsung,SM-A725F,Android-fcm,12,e9fsFZPKOPQ:APA91bEMq4AQzpq2gMurfs8BgfoJ-ezctq8BA4hppTBJnNCSFQ7KKjfdEIeMHfy3xJJyCBvLCjyHie3GFDb65zWsFhLihPWHcqGDx4d7yJVxhhwoElQJ_64EnTtTr2XNNszg_EUvb8iD,46fee1b6b215adc5
33,8801,com.moodle.moodlemobile,Apple,"iPhone10,1",iOS-fcm,15.4,c-nsZVzp4k9qtOz36DxM5f:APA91bEjzy-ZL1rpTPjUHuSzLJNfDmdVHEvJy2ynEPNtNn5bz1Ns9L9DlvYgOm-nMOg6aLFv1r9rrPFO04j2eAwUyDfskv_wC9OgzK_uLB5f37mHPlxZ1x2C-TCs65xTfeMZcKBKPjkj,2976B146-0F91-4232-AEB2-D3D5D82864BC
34,8801,com.moodle.moodlemobile,Apple,"iPad7,2",iOS-fcm,15.6,epv63k8jGESwnDFGj4-O6d:APA91bHHlK7YgJFXOESivOcAuMV48qpQxKMwP80iUQVT5-c7XOlS5DIkPo6wSiC0Jlw6YoI_p_yAoyu8wyqz-NltZjf7dAGhDtP99wSTbimDz7waiSvz_KbbvZYK-9qCd1y2A5yQWcts,8B33C0FA-5498-4255-BE39-5D7F1C746A94
35,5800,com.moodle.moodlemobile,Apple,"iPhone10,5",iOS-fcm,15.6,f6CryoQHOkoxkiFaLA8ZhD:APA91bHRbpZF3sdori60IFxSGPhm-5805zId2j8FXfjZNmHcUGyYWXHpjAShRwhiy6IRH2VmuxCxv5uw6JBy6TPoQ8EDRQCPszYBiyClqutSycLBTJ6EZXpSbr7jERq1-4NybpLUnQdN,98159A18-D0A7-4FD1-97C5-C51A586EFDE9
36,8744,com.moodle.moodlemobile,Apple,"iPad12,1",iOS-fcm,15.6,cRHtB-vAJ9E:APA91bHyQBZ6Ebc-Np-ZHgaa9CsDOdd_k-lzbglXzJx0wAAz6us0R4knhksqcaiNzZ4B2gmADDEX9QSQajoICf2ibG7Uo1b4wFCR8xVRGVp_8iBStkwQIzPata_pLRNRpqxntD4_3EXO,ADBE5171-0B8D-447F-A462-84EA5E4A0CD5
37,2583,com.moodle.moodlemobile,Apple,"iPhone12,1",iOS-fcm,15.6,fBGIxE-bq028u54-w_8Ueu:APA91bEt-rYoSDp2PDDzEiy3xlOJRB-GnLpDWZrhcNpo1uFwDMSS9zzugSVA4rtmgsEuUSnn0w1Ivo1_SM_qADbvOVlCNj6YZg4C_LPQ6wT_5xr_x6J5FFumYlKMPEqHImXwNvigWTzz,69206D6B-44DD-4EAF-B4FE-F6478FB279D6
38,5823,com.moodle.moodlemobile,Xiaomi,Redmi Note 8,Android-fcm,10,c7Us87lASt4:APA91bHf2QI6xeUCsFK33ozo1Hm44ROET6dcR2VuXIMhBb4_jx_AzfRhXdY7XdhNxjX8EKR8WrBMD99YnsYdtE3LSs6IHOoxGFOnJkpeNII23H575bw3HBaRAsCtnRqf5te9LdZrikNG,ae2e0afbe738d189
39,5616,com.moodle.moodlemobile,Apple,"iPhone9,4",iOS-fcm,15.6,eU6rBs3Nf0i-nwvunRoijr:APA91bGdD38hLp0DnZ2AqIrDsoVMKtpIZ25Yxh46c3QgANHD_G4K8SUl7mg1yZiity9CoomQrjk_8IFOsmXEeT6wc7A-20yJ-w9Rm05sa40TQNCW1uuj1ADJmFfEtbMsxrPStrqlxTmX,FCB24CA8-9511-4810-AF39-E191D2215F9A
40,2726,com.moodle.moodlemobile,samsung,SM-G975F,Android-fcm,12,dfWaGTr6eBA:APA91bG2IOlL__kcK8s_wZMg-wjQaKYO1Ojeb4YwChYV5xwRX5HKRaBuqRqnIT1rcc6dHp7wwNLX8TI9gU33IawX_6Xvc8U_Px-yAfOrRTgteNSv0vVvMVe-Sh2tWqJNDYBsDwPhFW_W,895371acdc92a604
41,5823,com.moodle.moodlemobile,Apple,"iPhone8,2",iOS-fcm,15.5,cXUsqcpgW0WEvW_8qQdd1V:APA91bFnTDurx6uqdNHpTJrCfZ63KMoSa0Nwc0yMTMSVL2-rHvq1GgIavFcRR6FfjPlwLB1Q0yiTlXRcIjGPgcal20jcdZIWnGCfaPVOZdi3wG6mzSRKZpVdsCfHXbMpmL4tu55mjhZs,F94B4899-00EC-4C23-A12F-82B6FA1E992B
